date,fai_complete
1992-02-29,125.82
1992-03-31,315.36
1992-04-30,523.81
1992-05-31,799.11
1992-06-30,1170.98
1992-07-31,1483.85
1992-08-31,1814.05
1992-09-30,2192.07
1992-10-31,2609.35
1992-11-30,3064.11
1992-12-31,5854.6046
1993-02-28,227.99
1993-03-31,516.33
1993-04-30,851.4
1993-05-31,1312.48
1993-06-30,1916.2
1993-07-31,2432.65
1993-08-31,2931.38
1993-09-30,3495.53
1993-10-31,4126.02
1993-11-30,4820.91
1993-12-31,9688.9629
1994-02-28,278.88
1994-03-31,676.1
1994-04-30,1152.77
1994-05-31,1726.61
1994-06-30,2616.76
1994-07-31,3488.67
1994-08-31,4155.76
1994-09-30,4956.14
1994-10-31,5710.47
1994-11-30,6563.05
1994-12-31,12862.52
1995-02-28,443.67
1995-03-31,1117.85
1995-04-30,1799.78
1995-05-31,2619.44
1995-06-30,3763.75
1995-07-31,4720.13
1995-08-31,5750.89
1995-09-30,6891.83
1995-10-31,7963.89
1995-11-30,9090.65
1995-12-31,15643.7
1996-02-29,474.94
1996-03-31,1298.71
1996-04-30,2093.14
1996-05-31,3126.45
1996-06-30,4666.48
1996-07-31,5860.98
1996-08-31,6963.83
1996-09-30,8269.45
1996-10-31,9496.79
1996-11-30,10888.58
1996-12-31,17567.2
1997-02-28,588.59
1997-03-31,1478.17
1997-04-30,2424.59
1997-05-31,3563.39
1997-06-30,5291.42
1997-07-31,6391.95
1997-08-31,7644.6
1997-09-30,9081.56
1997-10-31,10612.5
1997-11-30,12200.76
1997-12-31,19194.2
1998-02-28,653.75
1998-03-31,1618.16
1998-04-30,2713.38
1998-05-31,4005.7
1998-06-30,5827.86
1998-07-31,7361.84
1998-08-31,8943.08
1998-09-30,10863.61
1998-10-31,12815.42
1998-11-30,15035.1
1998-12-31,22491.4
1999-02-28,845.19
1999-03-31,2022.83
1999-04-30,3269.99
1999-05-31,4750.25
1999-06-30,6686.57
1999-07-31,8297.64
1999-08-31,9908.15
1999-09-30,11764.17
1999-10-31,13746.8
1999-11-30,16108.32
1999-12-31,23732
2000-02-29,954.87
2000-03-31,2235.36
2000-04-30,3611.19
2000-05-31,5232.62
2000-06-30,7537.61
2000-07-31,9382.52
2000-08-31,11194.68
2000-09-30,13470.48
2000-10-31,15687.13
2000-11-30,18191.01
2000-12-31,26221.85
2001-02-28,1130.73
2001-03-31,2560.19
2001-04-30,4235.73
2001-05-31,6199.14
2001-06-30,8928.03
2001-07-31,11111.13
2001-08-31,13311.23
2001-09-30,15919.44
2001-10-31,18423.79
2001-11-30,21163.72
2001-12-31,30001.2
2002-02-28,1407.99
2002-03-31,3263.69
2002-04-30,5416.42
2002-05-31,7827.64
2002-06-30,11103.52
2002-07-31,13794
2002-08-31,16535
2002-09-30,19788.13
2002-10-31,22869.16
2002-11-30,26119
2002-12-31,35488.8
2003-02-28,1936.44
2003-03-31,4478.58
2003-04-30,7264.89
2003-05-31,10577.8
2003-06-30,15072.64
2003-07-31,18753.33
2003-08-31,22365
2003-09-30,26512.58
2003-10-31,30466.52
2003-11-30,34618.03
2003-12-31,45811.7
2004-02-29,3287.03
2004-03-31,7058.48
2004-04-30,11047.44
2004-05-31,15437.2
2004-06-30,21843.97
2004-07-31,27115.8
2004-08-31,32185.95
2004-09-30,38028.34
2004-10-31,43556.28
2004-11-30,49274.32
2004-12-31,59028.2
2005-02-28,4221.78
2005-03-31,9036.68
2005-04-30,14024.67
2005-05-31,19719.32
2005-06-30,27967
2005-07-31,34637.16
2005-08-31,41150.9
2005-09-30,48741.49
2005-10-31,55792.12
2005-11-30,63259.85
2005-12-31,75095.1
2006-02-28,5294.1
2006-03-31,11608.4
2006-04-30,18005.66
2006-05-31,25443.47
2006-06-30,36368.35
2006-07-31,44771.01
2006-08-31,52593.66
2006-09-30,61880.12
2006-10-31,70070.52
2006-11-30,79312.1
2006-12-31,93368.68
2007-02-28,6535.01
2007-03-31,14543.61
2007-04-30,22594.41
2007-05-31,32044.78
2007-06-30,46077.82
2007-07-31,56697.83
2007-08-31,66659
2007-09-30,78246.78
2007-10-31,88953.32
2007-11-30,100604.61
2007-12-31,117464.47
2008-02-29,8121.29
2008-03-31,18316.94
2008-04-30,28410.07
2008-05-31,40264.2
2008-06-30,58435.98
2008-07-31,72160.08
2008-08-31,84919.69
2008-09-30,99870.71
2008-10-31,113189.07
2008-11-30,127614.14
2008-12-31,148738.3
2009-02-28,10275.79
2009-03-31,23562
2009-04-30,37082.3
2009-05-31,53520.32
2009-06-30,78098.35
2009-07-31,95932.01
2009-08-31,112984.79
2009-09-30,133176.6
2009-10-31,150709.76
2009-11-30,168634.2
2009-12-31,193920.39
2010-02-28,13014.03
2010-03-31,29792.68
2010-04-30,46742.75
2010-05-31,67358.3
2010-06-30,98047.38
2010-07-31,119866.25
2010-08-31,140997.74
2010-09-30,165869.58
2010-10-31,187556.1
2010-11-30,210697.86
2010-12-31,241430.89
2011-02-28,17444.16
2011-03-31,39464.91
2011-04-30,62716.23
2011-05-31,90254.51
2011-06-30,124566.68
2011-07-31,152419.86
2011-08-31,180607.62
2011-09-30,212273.99
2011-10-31,241365.09
2011-11-30,269452.12
2011-12-31,302396.0592
2012-02-29,21188.8252
2012-03-31,47865.3977
2012-04-30,75591.6004
2012-05-31,108924.2109
2012-06-30,150710.0635
2012-07-31,184311.7845
2012-08-31,217958.0719
2012-09-30,256932.8949
2012-10-31,292541.9951
2012-11-30,326236.1733
2012-12-31,364854.1459
2013-02-28,25675.9182
2013-03-31,58092.2759
2013-04-30,91319.1773
2013-05-31,131210.6495
2013-06-30,181317.6
2013-07-31,221722.232
2013-08-31,262578.0813
2013-09-30,309207.5739
2013-10-31,351669.2492
2013-11-30,391282.527
2013-12-31,435747.4256
2014-02-28,30283.0294
2014-03-31,68321.7145
2014-04-30,107077.8331
2014-05-31,153716.4861
2014-06-30,212770.4486
2014-07-31,259492.9131
2014-08-31,305786.4814
2014-09-30,357787.1843
2014-10-31,406160.604
2014-11-30,451067.578
2014-12-31,501264.9
2015-02-28,34477.4129
2015-03-31,77511.2536
2015-04-30,119978.5041
2015-05-31,171245.4032
2015-06-30,237131.8661
2015-07-31,288468.5045
2015-08-31,338977.3613
2015-09-30,394531.0378
2015-10-31,447424.8814
2015-11-30,497182.15
2015-12-31,551590.0383
2016-02-29,38007.7968
2016-03-31,85842.8332
2016-04-30,132591.9525
2016-05-31,187670.982
2016-06-30,258359.9564
2016-07-31,311694.3331
2016-08-31,366339.1868
2016-09-30,426906.441
2016-10-31,484429.0177
2016-11-30,538547.98
2016-12-31,596500.752
2017-02-28,41377.8884
2017-03-31,93777.0557
2017-04-30,144326.8423
2017-05-31,203718.2668
2017-06-30,280604.8292
2017-07-31,337409.4861
2017-08-31,394150.13
2017-09-30,458478.1785
